num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
18,10,786928104,786928017,149097,Front-C;Left-C;Down-CC;Back-CC;Left-C;Down-CC;Back-CC;Up-C;Back-CC;Left-C;
18,8,12373450,12373383,2356,Left-C;Up-C;Back-CC;Up-C;Right-CC;Up-C;Front-C;Right-CC;
18,10,1509383616,1509383532,286027,Back-CC;Right-CC;Front-C;Right-CC;Up-C;Up-C;Left-C;Up-C;Front-C;Down-CC;
18,10,626872944,626872850,118681,Front-C;Front-C;Up-C;Left-C;Front-C;Front-C;Down-CC;Left-C;Left-C;Back-CC;
18,10,631578384,631578287,120010,Front-C;Left-C;Front-C;Left-C;Front-C;Down-CC;Left-C;Front-C;Front-C;Left-C;
18,10,1829101608,1829101518,347897,Left-C;Back-CC;Right-CC;Up-C;Front-C;Front-C;Right-CC;Front-C;Up-C;Right-CC;
18,8,4330630,4330560,824,Front-C;Front-C;Up-C;Left-C;Up-C;Up-C;Left-C;Left-C;
18,6,108824,108778,21,Back-CC;Down-CC;Left-C;Up-C;Right-CC;Down-CC;
18,10,737889156,737889068,140612,Front-C;Down-CC;Left-C;Front-C;Front-C;Down-CC;Left-C;Down-CC;Back-CC;Left-C;
19,11,9224895685,9224895586,1761043,Front-C;Left-C;Back-CC;Left-C;Front-C;Left-C;Down-CC;Left-C;Back-CC;Left-C;Down-CC;
19,11,7940206597,7940206498,1514173,Front-C;Front-C;Up-C;Up-C;Left-C;Left-C;Down-CC;Back-CC;Up-C;Front-C;Front-C;
19,11,8543765881,8543765788,1633635,Front-C;Right-CC;Up-C;Back-CC;Up-C;Back-CC;Right-CC;Down-CC;Back-CC;Up-C;Left-C;
19,11,35576231317,35576231219,6803395,Up-C;Front-C;Front-C;Down-CC;Back-CC;Up-C;Back-CC;Down-CC;Right-CC;Front-C;Front-C;
19,11,9151250497,9151250398,1749179,Front-C;Up-C;Right-CC;Front-C;Front-C;Right-CC;Up-C;Right-CC;Back-CC;Right-CC;Back-CC;
19,11,8450066905,8450066809,1625247,Front-C;Left-C;Back-CC;Right-CC;Back-CC;Down-CC;Front-C;Down-CC;Front-C;Right-CC;Down-CC;
19,5,3391,3346,0,Front-C;Up-C;Front-C;Left-C;Up-C;
19,7,2413449,2413390,453,Right-CC;Back-CC;Up-C;Up-C;Right-CC;Back-CC;Left-C;
19,7,1192485,1192425,227,Left-C;Up-C;Up-C;Right-CC;Front-C;Left-C;Left-C;
19,9,158836955,158836878,30163,Left-C;Down-CC;Front-C;Front-C;Down-CC;Left-C;Back-CC;Up-C;Right-CC;
20,10,1260273372,1260273286,240462,Back-CC;Left-C;Front-C;Front-C;Up-C;Left-C;Up-C;Right-CC;Up-C;Up-C;
20,12,89917090790,89917090679,26791407,Front-C;Front-C;Down-CC;Front-C;Front-C;Left-C;Back-CC;Right-CC;Back-CC;Up-C;Back-CC;Up-C;
20,10,700489656,700489570,139819,Front-C;Front-C;Right-CC;Front-C;Left-C;Up-C;Right-CC;Down-CC;Right-CC;Up-C;
20,10,2419047456,2419047376,1460421,Right-CC;Up-C;Back-CC;Right-CC;Up-C;Up-C;Front-C;Down-CC;Left-C;Up-C;
20,10,757972500,757972409,143271,Front-C;Left-C;Left-C;Back-CC;Left-C;Front-C;Down-CC;Front-C;Right-CC;Up-C;
20,10,705836988,705836902,134336,Front-C;Right-CC;Front-C;Up-C;Right-CC;Down-CC;Left-C;Up-C;Back-CC;Left-C;
20,10,1785860580,1785860492,348347,Left-C;Front-C;Left-C;Back-CC;Up-C;Back-CC;Left-C;Up-C;Back-CC;Down-CC;
20,12,86031499310,86031499198,16594415,Front-C;Front-C;Up-C;Front-C;Down-CC;Front-C;Front-C;Left-C;Down-CC;Left-C;Front-C;Left-C;
20,8,23598034,23597967,4528,Down-CC;Right-CC;Back-CC;Left-C;Back-CC;Left-C;Down-CC;Left-C;
